date,active_addresses,total_flow_usd,gecko_id
2024-11-01,556937.0,-54900000.0,bitcoin
2024-11-02,504260.0,,
2024-11-03,452488.0,,
2024-11-04,518019.0,-541100000.0,bitcoin
2024-11-05,548495.0,-116800000.0,bitcoin
2024-11-06,622566.0,621900000.0,bitcoin
2024-11-07,583391.0,1373800000.0,bitcoin
2024-11-08,591255.0,293400000.0,bitcoin
2024-11-09,502340.0,,
2024-11-10,564886.0,,
2024-11-11,623756.0,1114100000.0,bitcoin
2024-11-12,702613.0,817500000.0,bitcoin
2024-11-13,636590.0,510100000.0,bitcoin
2024-11-14,587386.0,-400700000.0,bitcoin
2024-11-15,619495.0,-370000000.0,bitcoin
2024-11-16,581985.0,,
2024-11-17,518084.0,,
2024-11-18,569925.0,254800000.0,bitcoin
2024-11-19,547132.0,829500000.0,bitcoin
2024-11-20,557264.0,773400000.0,bitcoin
2024-11-21,666196.0,1005100000.0,bitcoin
2024-11-22,628961.0,490300000.0,bitcoin
2024-11-23,590148.0,,
2024-11-24,534908.0,,
2024-11-25,593157.0,-435300000.0,bitcoin
2024-11-26,568081.0,-122800000.0,bitcoin
2024-11-27,599700.0,103000000.0,bitcoin
2024-11-28,559053.0,,
2024-11-29,551875.0,320000000.0,bitcoin
2024-11-30,583647.0,,
