date,symbol,asset_type,open,high,low,close,adj_close,volume,vix,fng
2024-11-01,DOGE-USD,crypto,0.16196276,0.16800052,0.15465827,0.15945574,,5417531448.505226,21.8799991607666,75.0
2024-11-02,DOGE-USD,crypto,0.16008789,0.16355264,0.15640281,0.15942509,,4159681644.0,,72.0
2024-11-03,DOGE-USD,crypto,0.15954231,0.15966319,0.14314719,0.15207078,,3783109602.916376,,74.0
2024-11-04,DOGE-USD,crypto,0.15103316,0.16004117,0.14870937,0.15819575,,5282570129.480836,21.979999542236328,70.0
2024-11-05,DOGE-USD,crypto,0.15915389,0.17740042,0.15915389,0.17015423,,8054652740.299651,20.489999771118164,70.0
2024-11-06,DOGE-USD,crypto,0.17064241,0.21173492,0.16942644,0.19614803,,24292749710.341465,16.270000457763672,70.0
2024-11-07,DOGE-USD,crypto,0.19510839,0.20217191,0.18660028,0.19314419,,14329322930.261324,15.199999809265137,77.0
2024-11-08,DOGE-USD,crypto,0.19471381,0.2058217,0.19107432,0.20200406,,7938234494.592335,14.9399995803833,75.0
2024-11-09,DOGE-USD,crypto,0.20150499,0.21861688,0.19784879,0.21787357,,8411685877.585366,,75.0
2024-11-10,DOGE-USD,crypto,0.21692119,0.29187569,0.21692119,0.27911699,,16606595207.393728,,78.0
2024-11-11,DOGE-USD,crypto,0.28134793,0.34926607,0.27609473,0.34926607,,38680237542.31359,14.970000267028809,76.0
2024-11-12,DOGE-USD,crypto,0.33909273,0.43566773,0.32963316,0.38487992,,68298829295.61672,14.710000038146973,80.0
2024-11-13,DOGE-USD,crypto,0.38645365,0.42899827,0.35834734,0.39809503,,63917952683.04878,14.020000457763672,84.0
2024-11-14,DOGE-USD,crypto,0.39734112,0.412861,0.35610739,0.36281194,,38661795026.87805,14.3100004196167,88.0
2024-11-15,DOGE-USD,crypto,0.36888983,0.38439612,0.35541523,0.37736627,,27003701405.891987,16.139999389648438,80.0
2024-11-16,DOGE-USD,crypto,0.37918943,0.38907538,0.36196238,0.36422143,,18706648119.174217,,86.0
2024-11-17,DOGE-USD,crypto,0.36310707,0.37391306,0.34411885,0.36686897,,14913751040.592337,,90.0
2024-11-18,DOGE-USD,crypto,0.36542499,0.37886957,0.35987124,0.37201651,,14710644566.463415,15.579999923706056,83.0
2024-11-19,DOGE-USD,crypto,0.36955672,0.41733154,0.36864714,0.39110685,,20067133243.801395,16.350000381469727,90.0
2024-11-20,DOGE-USD,crypto,0.38970816,0.39502585,0.3665457,0.3776527,,21954249299.85017,17.15999984741211,83.0
2024-11-21,DOGE-USD,crypto,0.37957021,0.39405646,0.37079443,0.38745596,,16475487955.744757,16.8700008392334,82.0
2024-11-22,DOGE-USD,crypto,0.38673514,0.41812745,0.3817436,0.41126673,,19089968050.1115,15.239999771118164,94.0
2024-11-23,DOGE-USD,crypto,0.41312092,0.47531308,0.40508496,0.4289324,,36327726541.69686,,93.0
2024-11-24,DOGE-USD,crypto,0.4327765,0.45132068,0.40092801,0.42903836,,28909821683.25436,,80.0
2024-11-25,DOGE-USD,crypto,0.42583011,0.43560526,0.38356226,0.39315762,,19643901180.059235,14.600000381469728,82.0
2024-11-26,DOGE-USD,crypto,0.39329841,0.40826419,0.36698543,0.38728061,,18996137073.139374,14.100000381469728,79.0
2024-11-27,DOGE-USD,crypto,0.38446693,0.4074941,0.38208788,0.40191115,,15006283496.972126,14.100000381469728,75.0
2024-11-28,DOGE-USD,crypto,0.39923791,0.42520072,0.39301653,0.40213907,,13017535801.860628,,77.0
2024-11-29,DOGE-USD,crypto,0.40168,0.43782,0.39947,0.42647,,726643795.4,13.510000228881836,78.0
2024-11-30,DOGE-USD,crypto,0.42646,0.43576,0.41374,0.42185,,648577958.8,,84.0
