date,net_out_usd,token_symbol,total_in_usd,total_out_usd
2024-11-01,-215607.42539681308,DOGE,8064050.08384092,7848442.658444107
2024-11-02,22227.995572568383,DOGE,1105880.9792117097,1128108.9747842778
2024-11-03,47962.48560028337,DOGE,2506040.9820698462,2554003.4676701296
2024-11-04,-592885.0222840817,DOGE,2790256.3276060447,2197371.305321963
2024-11-05,602726.1065222118,DOGE,8497509.095929217,9100235.202451428
2024-11-06,638870.218011165,DOGE,14273780.587067291,14912650.805078456
2024-11-07,2221810.1085331505,DOGE,7466364.088335796,9688174.196868949
2024-11-08,-938580.1014089248,DOGE,7952219.795526107,7013639.694117182
2024-11-09,-255101.9685625061,DOGE,5827974.343183258,5572872.374620752
2024-11-10,1377794.2954173274,DOGE,7639905.007186662,9017699.30260399
2024-11-11,-56408154.87670993,DOGE,121423208.78423037,65015053.90752042
2024-11-12,-26163185.475205567,DOGE,52121550.28548961,25958364.810284045
2024-11-13,-939723.4385778494,DOGE,20451953.41492829,19512229.97635044
2024-11-14,7624516.917082583,DOGE,13148731.219168948,20773248.13625153
2024-11-15,6041882.284678405,DOGE,13311892.37198733,19353774.65666573
2024-11-16,3731799.0111043314,DOGE,5316228.458317098,9048027.46942143
2024-11-17,-1625920.6947251186,DOGE,4599991.706506883,2974071.011781764
2024-11-18,-3350866.538188383,DOGE,18624786.8663043,15273920.328115918
2024-11-19,-12504807.97188206,DOGE,20453941.23751421,7949133.26563215
2024-11-20,-913505.7169521152,DOGE,11581388.30996009,10667882.593007974
2024-11-21,-2472688.82495662,DOGE,10257048.954023607,7784360.129066987
2024-11-22,1184414.1295498011,DOGE,8841064.037371041,10025478.166920844
2024-11-23,-116807.6086136736,DOGE,11202802.859756852,11085995.25114318
2024-11-24,6262828.682068302,DOGE,5257904.0486942055,11520732.730762508
2024-11-25,2001452.676148343,DOGE,5141021.659439604,7142474.335587947
2024-11-26,-8199118.042832132,DOGE,35405282.749637075,27206164.706804942
2024-11-27,309049.8537932858,DOGE,9400316.578763608,9709366.432556894
2024-11-28,332819.5258062808,DOGE,4734969.601465127,5067789.127271408
2024-11-29,-1178563.3149674905,DOGE,4739296.927462559,3560733.612495069
2024-11-30,-3540117.882542759,DOGE,7583182.980725938,4043065.0981831793
