date,symbol,asset_type,open,high,low,close,adj_close,volume,vix,fng
2024-11-01,GLD,equity,254.33,254.86,252.435,252.47,,6473012.0,21.8799991607666,75
2024-11-04,GLD,equity,253.32,253.58,252.27,252.83,,4581435.0,21.979999542236328,70
2024-11-05,GLD,equity,253.78,253.9893,252.41,253.4,,6029884.0,20.489999771118164,70
2024-11-06,GLD,equity,245.635,247.35,244.9506,245.7,,14600217.0,16.270000457763672,70
2024-11-07,GLD,equity,248.29,250.24,248.12,249.65,,8821445.0,15.199999809265137,77
2024-11-08,GLD,equity,249.07,249.35,247.78,247.96,,6267916.0,14.9399995803833,75
2024-11-11,GLD,equity,242.73,242.73,241.06,242.14,,11653848.0,14.970000267028809,76
2024-11-12,GLD,equity,241.29,241.66,239.39,240.05,,10145510.0,14.710000038146973,80
2024-11-13,GLD,equity,241.31,241.47,237.59,237.63,,8431694.0,14.020000457763672,84
2024-11-14,GLD,equity,236.57,237.9886,236.1326,237.01,,8262426.0,14.3100004196167,88
2024-11-15,GLD,equity,237.57,237.88,236.33,236.59,,7299482.0,16.139999389648438,80
2024-11-18,GLD,equity,240.46,241.495,240.45,241.09,,6512986.0,15.579999923706056,83
2024-11-19,GLD,equity,242.75,243.31,242.03,243.25,,6579103.0,16.350000381469727,90
2024-11-20,GLD,equity,243.74,245.21,243.51,244.62,,6630737.0,17.15999984741211,83
2024-11-21,GLD,equity,246.23,246.81,245.69,246.66,,7646429.0,16.8700008392334,82
2024-11-22,GLD,equity,248.2,250.39,247.86,249.84,,7502963.0,15.239999771118164,94
2024-11-25,GLD,equity,244.27,244.3999,241.48,242.48,,10733109.0,14.600000381469728,82
2024-11-26,GLD,equity,242.71,243.09,241.58,242.95,,4945897.0,14.100000381469728,79
2024-11-27,GLD,equity,244.85,245.1835,243.2,243.49,,6930587.0,14.100000381469728,75
2024-11-29,GLD,equity,245.25,245.81,244.73,245.59,,2700669.0,13.510000228881836,78
