date,symbol,asset_type,open,high,low,close,adj_close,volume,vix,fng
2024-11-01,KO,equity,65.47,65.66,64.89,65.01,,12163094.0,21.8799991607666,75
2024-11-04,KO,equity,65.08,65.42,64.6507,65.11,,10984502.0,21.979999542236328,70
2024-11-05,KO,equity,64.64,65.4698,64.64,65.37,,8780220.0,20.489999771118164,70
2024-11-06,KO,equity,64.42,64.86,63.18,63.7,,22899263.0,16.270000457763672,70
2024-11-07,KO,equity,64.29,64.39,63.6,63.66,,14856051.0,15.199999809265137,77
2024-11-08,KO,equity,63.91,64.24,63.74,63.92,,14719308.0,14.9399995803833,75
2024-11-11,KO,equity,63.99,64.12,63.2509,63.36,,13980873.0,14.970000267028809,76
2024-11-12,KO,equity,63.68,63.75,63.12,63.2,,15020975.0,14.710000038146973,80
2024-11-13,KO,equity,63.05,63.26,62.49,63.0,,13177637.0,14.020000457763672,84
2024-11-14,KO,equity,63.11,63.11,62.43,62.55,,15910820.0,14.3100004196167,88
2024-11-15,KO,equity,62.49,62.63,61.39,61.74,,26284331.0,16.139999389648438,80
2024-11-18,KO,equity,61.85,62.14,61.56,61.86,,16079364.0,15.579999923706056,83
2024-11-19,KO,equity,61.9,62.62,61.63,62.59,,16254832.0,16.350000381469727,90
2024-11-20,KO,equity,62.7,63.01,62.02,62.99,,18904909.0,17.15999984741211,83
2024-11-21,KO,equity,63.15,63.81,62.95,63.76,,17292300.0,16.8700008392334,82
2024-11-22,KO,equity,64.24,64.48,63.65,63.92,,19562231.0,15.239999771118164,94
2024-11-25,KO,equity,64.32,64.71,63.84,64.38,,36805252.0,14.600000381469728,82
2024-11-26,KO,equity,64.31,64.64,64.06,64.55,,14473271.0,14.100000381469728,79
2024-11-27,KO,equity,64.96,65.1,64.25,64.43,,13263403.0,14.100000381469728,75
2024-11-29,KO,equity,64.02,64.25,63.77,64.08,,10648354.0,13.510000228881836,78
