date,symbol,asset_type,open,high,low,close,adj_close,volume,vix,fng
2024-11-01,NVDA,equity,134.7,137.31,134.57,135.4,,207127838.0,21.8799991607666,75
2024-11-04,NVDA,equity,137.21,138.96,135.57,136.05,,187528173.0,21.979999542236328,70
2024-11-05,NVDA,equity,137.45,140.3701,137.33,139.91,,160537373.0,20.489999771118164,70
2024-11-06,NVDA,equity,142.96,146.49,141.96,145.61,,242043945.0,16.270000457763672,70
2024-11-07,NVDA,equity,146.39,148.93,146.17,148.88,,207323303.0,15.199999809265137,77
2024-11-08,NVDA,equity,148.77,149.77,146.26,147.63,,175665830.0,14.9399995803833,75
2024-11-11,NVDA,equity,148.68,148.85,143.57,145.26,,182325620.0,14.970000267028809,76
2024-11-12,NVDA,equity,146.78,149.65,146.01,148.29,,198634738.0,14.710000038146973,80
2024-11-13,NVDA,equity,149.07,149.33,145.9,146.27,,191903267.0,14.020000457763672,84
2024-11-14,NVDA,equity,147.64,149.0,145.55,146.76,,194463301.0,14.3100004196167,88
2024-11-15,NVDA,equity,144.87,145.24,140.08,141.98,,250132869.0,16.139999389648438,80
2024-11-18,NVDA,equity,139.5,141.55,137.15,140.15,,221865993.0,15.579999923706056,83
2024-11-19,NVDA,equity,141.32,147.13,140.99,147.01,,227834912.0,16.350000381469727,90
2024-11-20,NVDA,equity,147.41,147.56,142.73,145.89,,309871654.0,17.15999984741211,83
2024-11-21,NVDA,equity,149.35,152.89,140.7,146.67,,400946570.0,16.8700008392334,82
2024-11-22,NVDA,equity,145.93,147.16,141.1,141.95,,236406154.0,15.239999771118164,94
2024-11-25,NVDA,equity,141.99,142.05,135.82,136.02,,344941875.0,14.600000381469728,82
2024-11-26,NVDA,equity,137.7,139.3,135.67,136.92,,190287654.0,14.100000381469728,79
2024-11-27,NVDA,equity,135.01,137.22,131.8,135.34,,226370912.0,14.100000381469728,75
2024-11-29,NVDA,equity,136.78,139.35,136.05,138.25,,141863156.0,13.510000228881836,78
